,Season,Player,Market_Value
680,2012,Thomas Vermaelen,15.73
681,2012,Laurent Koscielny,15.30
682,2012,Per Mertesacker,11.90
683,2012,Johan Djourou,5.10
684,2012,Sébastien Squillaci,1.28
685,2012,Ignasi Miquel,
686,2012,Martin Angha,
687,2012,Sead Hajrovic,
688,2012,Elton Monteiro,
689,2012,Nacho Monreal,5.10
690,2012,Kieran Gibbs,4.25
691,2012,Jernade Meade,
692,2012,Bacary Sagna,16.15
693,2012,Carl Jenkinson,850
694,2012,Héctor Bellerín,
695,2012,Francis Coquelin,2.55
696,2012,Emmanuel Frimpong,1.28
697,2012,Nico Yennaris,
698,2012,Jack Wilshere,18.70
699,2012,Santi Cazorla,17.00
700,2012,Mikel Arteta,12.33
701,2012,Aaron Ramsey,9.78
702,2012,Abou Diaby,4.25
703,2012,Alex Oxlade-Chamberlain,11.48
704,2012,Serge Gnabry,
705,2012,André Santos,6.38
706,2012,Tomás Rosicky,2.98
707,2012,Thomas Eisfeld,
708,2012,Gervinho,11.90
709,2012,Ryo Miyaichi,2.55
710,2012,Theo Walcott,16.15
711,2012,Andrey Arshavin,9.35
712,2012,Lukas Podolski,17.00
713,2012,Olivier Giroud,11.05
714,2012,Marouane Chamakh,4.68
715,2012,Zak Ansah,
716,2012,Chuba Akpom,
717,2011,Lukasz Fabianski,3.40
718,2011,Manuel Almunia,2.55
719,2011,Wojciech Szczesny,1.70
720,2011,Vito Mannone,850
721,2011,Emiliano Martínez,
722,2011,Thomas Vermaelen,15.30
723,2011,Per Mertesacker,10.63
724,2011,Laurent Koscielny,8.50
725,2011,Johan Djourou,5.53
726,2011,Sébastien Squillaci,5.10
727,2011,Daniel Boateng,43
728,2011,Ignasi Miquel,
729,2011,Kieran Gibbs,2.98
730,2011,Armand Traoré,1.28
731,2011,Jernade Meade,
732,2011,Bacary Sagna,14.45
733,2011,Carl Jenkinson,43
734,2011,Alex Song,14.45
735,2011,Francis Coquelin,1.11
736,2011,Craig Eastmond,425
737,2011,Emmanuel Frimpong,170
738,2011,Nico Yennaris,
739,2011,Mikel Arteta,14.45
740,2011,Jack Wilshere,8.50
741,2011,Abou Diaby,7.65
742,2011,Aaron Ramsey,5.10
743,2011,Henri Lansbury,510
744,2011,Oguzhan Özyakup,149
745,2011,Alex Oxlade-Chamberlain,2.13
746,2011,Samir Nasri,21.25
747,2011,Tomás Rosicky,6.38
748,2011,André Santos,5.53
749,2011,Chuks Aneke,43
750,2011,Gervinho,13.60
751,2011,Ryo Miyaichi,1.70
752,2011,Sanchez Watt,425
753,2011,Theo Walcott,11.90
754,2011,Yossi Benayoun,9.35
755,2011,Gilles Sunu,425
756,2011,Andrey Arshavin,17.85
757,2011,Robin van Persie,20.40
758,2011,Marouane Chamakh,14.45
759,2011,Nicklas Bendtner,7.23
760,2011,Chu-Young Park,5.95
761,2011,Thierry Henry,2.55
762,2010,Manuel Almunia,6.38
763,2010,Lukasz Fabianski,2.13
764,2010,Jens Lehmann,1.70
765,2010,Vito Mannone,850
766,2010,Wojciech Szczesny,404
767,2010,James Shea,
768,2010,Thomas Vermaelen,14.45
769,2010,Sébastien Squillaci,6.80
770,2010,Laurent Koscielny,4.25
771,2010,Johan Djourou,3.83
772,2010,Ignasi Miquel,
773,2010,Gaël Clichy,12.75
774,2010,Kieran Gibbs,2.55
775,2010,Bacary Sagna,12.33
776,2010,Emmanuel Eboué,5.95
777,2010,Alex Song,11.05
778,2010,Denílson,7.65
779,2010,Havard Nordtveit,850
780,2010,Craig Eastmond,425
781,2010,Cesc Fàbregas,46.75
782,2010,Abou Diaby,6.38
783,2010,Aaron Ramsey,5.10
784,2010,Jack Wilshere,2.55
785,2010,Henri Lansbury,510
786,2010,Conor Henderson,
787,2010,Samir Nasri,15.30
788,2010,Tomás Rosicky,9.35
789,2010,Theo Walcott,11.05
790,2010,Carlos Vela,4.25
791,2010,Andrey Arshavin,22.10
792,2010,Robin van Persie,21.25
793,2010,Marouane Chamakh,12.75
794,2010,Nicklas Bendtner,6.80
795,2010,Jay Emmanuel-Thomas,255
796,2016,Hugo Lloris,20.40
797,2016,Michel Vorm,4.25
798,2016,Pau López,1.28
799,2016,Toby Alderweireld,25.50
800,2016,Jan Vertonghen,21.25
801,2016,Kevin Wimmer,5.95
802,2016,Cameron Carter-Vickers,425
803,2016,Danny Rose,17.00
804,2016,Ben Davies,7.65
805,2016,Kyle Walker,17.00
806,2016,Kieran Trippier,5.10
807,2016,Eric Dier,18.70
808,2016,Victor Wanyama,15.30
809,2016,Dele Alli,34.00
810,2016,Moussa Sissoko,17.00
811,2016,Mousa Dembélé,15.30
812,2016,Harry Winks,2.55
813,2016,Christian Eriksen,29.75
814,2016,Josh Onomah,1.70
815,2016,Heung-Min Son,21.25
816,2016,Georges-Kevin N'Koudou,6.80
817,2016,Érik Lamela,22.10
